dataset,alias,source_id,variable_id,note
measurements,pb,env_kousui_annual_kanagawa,common:variable:water.lead,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,pcb,env_kousui_annual_kanagawa,common:variable:water.pcb,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,s12jikuroroetiren,env_kousui_annual_kanagawa,common:variable:water.cis12_dichloroethylene,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,seren,env_kousui_annual_kanagawa,common:variable:water.selenium,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,shimajin,env_kousui_annual_kanagawa,common:variable:water.simazine,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,sienkatanso,env_kousui_annual_kanagawa,common:variable:water.carbon_tetrachloride,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,srhg,env_kousui_annual_kanagawa,common:variable:water.alkyl_mercury,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,tetorakuroroechiren,env_kousui_annual_kanagawa,common:variable:water.tetrachloroethylene,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,thg,env_kousui_annual_kanagawa,common:variable:water.total_mercury,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,torikuroroechiren,env_kousui_annual_kanagawa,common:variable:water.trichloroethylene,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,torikuroroetan111,env_kousui_annual_kanagawa,common:variable:water.111_trichloroethane,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,torikuroroetan112,env_kousui_annual_kanagawa,common:variable:water.112_trichloroethane,国立環境研究所 公共用水域水質測定「年間値」データファイル利用説明書（平成27年4月）健康項目カラム定義。docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.4: 環境基準の評価は全シアンを除き年間平均値（kan_w.html）。ただし zip_create API の列がこの評価用統計量と同一の集計かを明記した資料は無く、stat は空のまま（推測で埋めない）。
measurements,大腸菌数,env_kousui_annual_kanagawa,common:variable:water.ecoli,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.6: 令和4年度からの新項目で、年間値ファイル利用説明書（平成27年）に未収載。90%値の定義は確認できたが、90%値でない「素の」大腸菌数列の定義を示す一次資料が見つからず、stat は空のまま（未確認。Phase A の mean は根拠が無かったため削除した）。
measurements,底層溶存酸素量,env_kousui_annual_kanagawa,common:variable:water.do_bottom,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §2.6: 平成28年追加項目で年間値ファイル利用説明書（平成27年）に未収載。評価方法（日間平均値の年間最低値）への言及はあるが環境省の一次資料で確認できず、stat は空のまま（未確認。Phase A の mean は根拠が無かったため削除した）。
measurements,有効水準点数,kanagawa_jiban_chinka,common:variable:land.benchmark_count_valid,
measurements,沈下水準点数(1cm以上2cm未満),kanagawa_jiban_chinka,common:variable:land.benchmark_count_settled_1_2cm,
measurements,沈下水準点数(2cm以上),kanagawa_jiban_chinka,common:variable:land.benchmark_count_settled_2cm_plus,
measurements,沈下面積(1cm以上2cm未満),kanagawa_jiban_chinka,common:variable:land.subsidence_area_1_2cm,
measurements,沈下面積(2cm以上),kanagawa_jiban_chinka,common:variable:land.subsidence_area_2cm_plus,
measurements,調査面積,kanagawa_jiban_chinka,common:variable:land.survey_area,
sensor_timeseries,NO2(ppm),soramame_hourly_kanagawa,common:variable:air.no2,
sensor_timeseries,OX,sagamihara_taiki_hourly,common:variable:air.photochemical_oxidant,出典(相模原市オープンデータ)に単位記載が無く、収集スクリプト(scripts/c13_sagamihara_taiki.py)も推測換算していない。値域から1/1000スケール(ppm相当)の可能性が指摘されているが未確定。
sensor_timeseries,Ox(ppm),soramame_hourly_kanagawa,common:variable:air.photochemical_oxidant,
sensor_timeseries,PM2.5(μg/m3),soramame_hourly_kanagawa,common:variable:air.pm25,
sensor_timeseries,RAIN,sagamihara_taiki_hourly,common:variable:weather.precipitation,出典(相模原市オープンデータ)に単位記載が無く、収集スクリプトも推測換算していない。0は無降雨の実測として扱う旨が原本にあり欠測ではない。
sensor_timeseries,SO2(ppm),soramame_hourly_kanagawa,common:variable:air.so2,
sensor_timeseries,SPM(mg/m3),soramame_hourly_kanagawa,common:variable:air.spm,
sensor_timeseries,soil_moisture,synthetic_sensor,common:variable:hydro.soil_moisture,source_id=synthetic_sensor（合成データ）
sensor_timeseries,water_temperature,synthetic_sensor,common:variable:water.water_temp,source_id=synthetic_sensor（合成データ。domain.ts の DATA_CAVEATS.synthetic 参照）
sensor_timeseries,天気概況_夜 (18:00-翌日06:00),jma_daily_yokohama,common:variable:weather.weather_summary_night,
sensor_timeseries,天気概況_昼 (06:00-18:00),jma_daily_yokohama,common:variable:weather.weather_summary_day,
sensor_timeseries,風向・風速_最大瞬間風速_風向,jma_daily_yokohama,common:variable:weather.wind_direction_at_gust,
sensor_timeseries,風向・風速_最大瞬間風速_風向,jma_monthly_kanagawa,common:variable:weather.wind_direction_at_gust,
sensor_timeseries,風向・風速_最大風速_風向,jma_daily_yokohama,common:variable:weather.wind_direction_at_max,
sensor_timeseries,風向・風速_最大風速_風向,jma_monthly_kanagawa,common:variable:weather.wind_direction_at_max,
