taxon_id,scientific_name,vernacular_name_ja,taxon_group_ja,redlist_kanagawa,redlist_national,ias_category,gbif_match_type,source_id,reason
acanthopagrus pacificus,Acanthopagrus pacificus,ナンヨウチヌ,汽水・淡水魚類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acanthurus achilles,Acanthurus achilles,アカツキハギ,魚類（海洋生物）,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
accipiter gentilis fujiyamae,Accipiter gentilis fujiyamae,オオタカ,鳥類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
accipiter gularis iwasakii,Accipiter gularis iwasakii,リュウキュウツミ,鳥類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
accipiter nisus nisosimilis,Accipiter nisus nisosimilis,ハイタカ,鳥類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acentrogobius audax,Acentrogobius audax,ニセツムギハゼ,汽水・淡水魚類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acentrogobius caninus,Acentrogobius caninus,ホクロハゼ,汽水・淡水魚類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acentrogobius suluensis,Acentrogobius suluensis,ホホグロスジハゼ,汽水・淡水魚類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acentrogobius viridipunctatus,Acentrogobius viridipunctatus,キララハゼ,汽水・淡水魚類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acer amamiense,Acer amamiense,アマミカジカエデ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acer itoanum,Acer itoanum,クスノハカエデ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acer miyabei,Acer miyabei,クロビイタヤ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acer miyabei f. shibatae,Acer miyabei f. shibatae,シバタカエデ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acer pictum subsp. taishakuense,Acer pictum subsp. taishakuense,タイシャクイタヤ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acer pycnanthum,Acer pycnanthum,ハナノキ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acetabularia caliculus,Acetabularia caliculus,ホソエガサ,藻類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acetabularia ryukyuensis,Acetabularia ryukyuensis,カサノリ,藻類,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acheilognathus melanogaster,Acheilognathus melanogaster,タナゴ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acheilognathus tabira erythropterus,Acheilognathus tabira erythropterus,アカヒレタビラ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acheilognathus tabira tabira,Acheilognathus tabira tabira,シロヒレタビラ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acheilognathus tabira tohokuensis,Acheilognathus tabira tohokuensis,キタノアカヒレタビラ,汽水・淡水魚類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
achillea alpina subsp. japonica,Achillea alpina subsp. japonica,キタノコギリソウ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
achillea alpina subsp. subcartilaginea,Achillea alpina subsp. subcartilaginea,アソノコギリソウ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
achillea ptarmica subsp. macrocephala var. yezoensis,Achillea ptarmica subsp. macrocephala var. yezoensis,ホソバエゾノコギリ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acilius kishii,Acilius kishii,ヤシャゲンゴロウ,昆虫類,,絶滅危惧IB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acmaeopleura parvula,Acmaeopleura parvula,小笠原諸島のヒメアカイソガニ,甲殻類（海洋生物）,,絶滅のおそれのある地域個体群（LP）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum chrysopilum,Aconitum chrysopilum,イブキレイジンソウ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum ciliare,Aconitum ciliare,ハナカズラ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum gassanense,Aconitum gassanense,ガッサントリカブト,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum iidemontanum,Aconitum iidemontanum,イイデトリカブト,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum jaluense subsp. iwatekense,Aconitum jaluense subsp. iwatekense,センウズモドキ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum jaluense subsp. jaluense,Aconitum jaluense subsp. jaluense,コウライブシ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum japonicum subsp. maritimum var. iyariense,Aconitum japonicum subsp. maritimum var. iyariense,イヤリトリカブト,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum kitadakense,Aconitum kitadakense,キタダケトリカブト,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum mashikense,Aconitum mashikense,マシケレイジンソウ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum metajaponicum,Aconitum metajaponicum,オンタケブシ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum misaoanum,Aconitum misaoanum,シレトコトリカブト,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum nipponicum subsp. micranthum,Aconitum nipponicum subsp. micranthum,キタザワブシ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum nipponicum subsp. nipponicum var. septemcarpum,Aconitum nipponicum subsp. nipponicum var. septemcarpum,ミョウコウトリカブト,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum okuyamae var. wagaense,Aconitum okuyamae var. wagaense,ワガトリカブト,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum senanense subsp. senanense var. isidzukae,Aconitum senanense subsp. senanense var. isidzukae,オオサワトリカブト,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum yamazakii,Aconitum yamazakii,ダイセツトリカブト,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconitum zigzag subsp. zigzag,Aconitum zigzag subsp. zigzag,タカネトリカブト,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aconogonon ajanense,Aconogonon ajanense,ヒメイワタデ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acrilla acuminata,Acrilla acuminata,ウネナシイトカケ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acrobolbus ciliatus,Acrobolbus ciliatus,チチブイチョウゴケ,蘚苔類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acrobolbus knightii,Acrobolbus knightii,ケハネゴケモドキ,蘚苔類,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acronicta carbonaria,Acronicta carbonaria,ウスズミケンモン,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acronicta digna,Acronicta digna,クビグロケンモン,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acronicta lutea,Acronicta lutea,ウスジロケンモン,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acroporium secundum,Acroporium secundum,シマフデノホゴケ,蘚苔類,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acropsopilio boopis,Acropsopilio boopis,アワマメザトウムシ,その他無脊椎動物,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acroscyphus sphaerophoroides,Acroscyphus sphaerophoroides,カニメゴケ,地衣類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acrostichum aureum,Acrostichum aureum,ミミモチシダ,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acteocina decoratoides,Acteocina decoratoides,コメツブツララ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acteocina koyasensis,Acteocina koyasensis,コヤスツララ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
actias gnoma,Actias gnoma,オナガミズアオ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
actinidia chinensis var. deliciosa,Actinidia chinensis var. deliciosa,キウイフルーツ（シナサルナシ）,植物,,,適切な管理が必要な産業上重要な外来種（産業管理外来種）,,moe_ias_list,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
actinoscirpus grossus,Actinoscirpus grossus,オオサンカクイ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aculepeira matsudae,Aculepeira matsudae,マツダタカネオニグモ,その他無脊椎動物,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
acystopteris tenuisecta,Acystopteris tenuisecta,ホウライウスヒメワラビ,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora hatsushimae,Adenophora hatsushimae,ツクシイワシャジン,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora maximowicziana,Adenophora maximowicziana,ヒナシャジン,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora nikoensis var. teramotoi,Adenophora nikoensis var. teramotoi,シライワシャジン,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora palustris,Adenophora palustris,ヤチシャジン,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora pereskiifolia var. yamadae,Adenophora pereskiifolia var. yamadae,ユウバリシャジン,維管束植物,,絶滅危惧ⅠＡ類（CR）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora stricta var. stricta,Adenophora stricta var. stricta,トウシャジン,維管束植物,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora takedae var. howozana,Adenophora takedae var. howozana,ホウオウシャジン,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora tashiroi,Adenophora tashiroi,シマシャジン,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adenophora uryuensis,Adenophora uryuensis,シラトリシャジン,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adiantum capillus-junonis,Adiantum capillus-junonis,ホウライクジャク,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adiantum diaphanum,Adiantum diaphanum,スキヤクジャク,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adiantum edgeworthii,Adiantum edgeworthii,オトメクジャク,維管束植物,,絶滅危惧ⅠB類（EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adiantum ogasawarense,Adiantum ogasawarense,イワホウライシダ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adinopsis nippon,Adinopsis nippon,ヤチハネカクシ,昆虫類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adisura atkinsoni,Adisura atkinsoni,アカヘリヤガ,昆虫類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adonis multiflora,Adonis multiflora,ミチノクフクジュソウ,維管束植物,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
adonis shikokuensis,Adonis shikokuensis,シコクフクジュソウ,維管束植物,,絶滅危惧Ⅱ類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegagropila brownii,Aegagropila brownii,マリモ,藻類,,絶滅危惧ⅠＡ類（CR）,,NONE,moe_redlist,GBIFへ照会したが一致しなかった（gbif_match_type=NONE）
aegista aemula hadaka,Aegista aemula hadaka,ハダカケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista aemula shikokuensis,Aegista aemula shikokuensis,シコクケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista caerulea,Aegista caerulea,ミズイロオオベソマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista calcicola,Aegista calcicola,イシマキシロマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista carinata,Aegista carinata,カドバリオトメマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista cavicollis,Aegista cavicollis,クチマガリマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista caviconus,Aegista caviconus,ヤギヅノマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista cavitectum,Aegista cavitectum,タシママイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista collinsoni collinsoni,Aegista collinsoni collinsoni,タシナミオトメマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista collinsoni lischkeana,Aegista collinsoni lischkeana,リシケオトメマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista conella,Aegista conella,コウニケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista conomphala,Aegista conomphala,ヘソカドケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista elegantissima,Aegista elegantissima,シュリケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista esakii,Aegista esakii,エサキケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista eumenes pergranosa,Aegista eumenes pergranosa,アラハダシロマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista fausta,Aegista fausta,サチマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista friedeliana humerosa,Aegista friedeliana humerosa,コシキフリイデルマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista friedeliana vestita,Aegista friedeliana vestita,オオシマフリイデルマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista hachijoensis,Aegista hachijoensis,ツバキカドマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista hatakedai hatakedai,Aegista hatakedai hatakedai,ハタケダマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista hatakedai kawamurai,Aegista hatakedai kawamurai,カワムラマイマイ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista hilgendorfi hilgendorfi,Aegista hilgendorfi hilgendorfi,ヒルゲンドルフマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista hiroshifukudai,Aegista hiroshifukudai,チョウシュウシロマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista inexpectata,Aegista inexpectata,オモイガケナマイマイ,貝類,,絶滅危惧I類（CR+EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista intonsa,Aegista intonsa,モリサキオオベソマイマイ,貝類,,絶滅危惧I類（CR+EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista itoi,Aegista itoi,イトウケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kandai,Aegista kandai,カンダマイマイ,貝類,,絶滅危惧I類（CR+EN）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kiusiuensis oshimana,Aegista kiusiuensis oshimana,オオシマケマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kiusiuensis tokunovaga,Aegista kiusiuensis tokunovaga,トクノシマケマイマイ,貝類,,絶滅危惧II類（VU）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kobensis discus,Aegista kobensis discus,ヒラコウベマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kobensis gotoensis,Aegista kobensis gotoensis,ゴトウコウベマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kobensis koshikijimana,Aegista kobensis koshikijimana,コシキコウベマイマイ,貝類,,準絶滅危惧（NT）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kobensis tsumiyamai,Aegista kobensis tsumiyamai,ツミヤママイマイ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
aegista kunimiensis,Aegista kunimiensis,ササミケマイマイ,貝類,,情報不足（DD）,,,moe_redlist,GBIFへの照会自体が未実施（gbif_taxon_key欠落・gbif_match_type=NULL）
