source_id,name,type,river_system,parent_id,river_name_ja,lat,lon,note_ja,source_doc_id
SRC_HAKONE_YUSUI,箱根町内の湧水,spring,,,,,,イタリー浄水場・品ノ木浄水場・水土野水源の原水。「箱根町内の湧水を水源としています。水源域では人為的汚染が少なく、火山性地質の影響を受けることもあります」（DOC_KEN_WEP_R8 p4）。3施設とも所在地は箱根町仙石原,DOC_KEN_WEP_R8
SRC_HASHIRIMIZU,走水の湧水,spring,,,,,,横須賀市走水の湧水。「市内唯一の水源である走水系統」（DOC_YKS_KEITO）。供給可能水量 1000 m3/日で市の1日配水能力 350300 m3 の 0.3%。走水水源地で膜ろ過して配水する（DOC_YKS_WEP_R8 p3）,DOC_YKS_KEITO
SRC_ODAWARA_GW,小田原市の地下水,groundwater,,,,,,第一水源地・第二水源地・中曽根補助水源地・石橋水源地・米神水源地・根府川第三水源地の深井戸（DOC_ODW_WEP_R8 p2 表2.1・p5）。令和5年度の年間取水量 2777 千㎥で市全体の 11.6%（DOC_KAN_SUIDOU_R5 p26）。**涵養域は市の資料に記載が無い**ので「小田原市の地下水」で止めてある,DOC_ODW_WEP_R8
SRC_ODAWARA_SPRING,片浦地区の湧水,spring,,,,,,根府川第一水源地・根府川第二水源地の湧水（DOC_ODW_WEP_R8 p2 表2.1・p5「エ）根府川第一水源地、根府川第二水源地　原水は湧水であり、クリプトスポリジウム対策として…膜処理施設を導入し」）。旧・小田原市片浦地区簡易水道事業の水源で平成17年4月1日に水道事業へ統合（同 p1 注1）。**涵養域は資料に記載が無い**,DOC_ODW_WEP_R8
SRC_KARIGAWA,狩川,river,酒匂川水系,SRC_SAKAWA,狩川,,,南足柄市 矢倉沢浄水場の原水。「南足柄市水道事業の浄水施設は、狩川の表流水を利用する「矢倉沢浄水場」…」（DOC_MAS_ANZEN_R8 p2）。水利権は「酒匂川水系 狩川 取水門 矢倉沢 0.179398 m3/秒」（DOC_KAN_SUIDOU_R5 p24）。酒匂川の支流だが取水地点が本流の飯泉より上流で系統が完全に分かれるため別の水源として扱う,DOC_MAS_ANZEN_R8
SRC_MINAMIASHIGARA_GW,南足柄市の地下水,groundwater,,,,,,第3・第5・弘西寺・中丸・怒田No.1・怒田No.2・班目No.1・班目No.2・岩原・班目（仮）の 10 水源（DOC_MAS_WEP_R8 p3 表2-2）。岩原浄水場・班目浄水場・上怒田浄水池で塩素消毒のみ。**涵養域は市の資料に記載が無い**ので「南足柄市の地下水」で止めてある,DOC_MAS_WEP_R8
SRC_MINAMIASHIGARA_SPRING,南足柄市の湧水,spring,,,,,,内山水源・丸太の森水源・地蔵堂水源・第1水源（休止）の 4 湧水（DOC_MAS_WEP_R8 p3 表2-2）。「表流水と湧水の５箇所は、いずれも周辺が山林となっており、その水質は良好に維持されています」（同 p7）とあるだけで**涵養域の記述は無い**,DOC_MAS_WEP_R8
SRC_NAKAI_GW,中井町の地下水,groundwater,,,,,,第3水源・第5水源・久所水源・岩倉水源・井ノ口水源・宮原水源・大久保水源・雑色水源（深井戸と浅井戸。DOC_NKI_WEP_R8 p3 表2）。半分形水源（深井戸）は予備（同 p3 表3）。令和5年度の年間取水量は浅井戸 667 + 深井戸 1582 = 2249 千㎥で、これが取水量の全量（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**ので「中井町の地下水」で止めてある。中井町は水利権を持たない（DOC_KAN_SUIDOU_R5 p24 に行が無い）＝河川からの取水が無いことの裏付け,DOC_NKI_WEP_R8
SRC_KAISEI_GW,開成町の地下水,groundwater,,,,,,第1〜第5水源（金井島）と第7水源（吉田島）の 6 本の深井戸（DOC_KAI_WEP_R8 水源一覧）。「水道水源は地下８０ｍほどの深い層を流れる深層地下水をくみ上げています」「浄化処理をしていません。薬品は水道法で義務付けられている必要最低限の塩素を加えているのみ」（DOC_KAI_OISHII）。令和5年度の年間取水量は深井戸 2213 千㎥で全量（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**ので「開成町の地下水」で止めてある,DOC_KAI_WEP_R8
SRC_OI_GW,大井町の地下水,groundwater,,,,,,第1〜第7号井（いずれも大井町金手。深さ 83〜150 m）の深井戸（DOC_OI_KEIEI p5 表1-2・p6 表1-3）。「本町水道事業の水道施設には、図 1-2 に示すとおり7本の深井戸と、2箇所の浄水場、6箇所の配水池があります」（同 p4）。令和5年度の年間取水量は深井戸 2365 千㎥で全量（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**ので「大井町の地下水」で止めてある,DOC_OI_KEIEI
SRC_MATSUDA_GW,松田町の地下水,groundwater,,,,,,上水道は宮下1号井・宮下3号井（松田惣領）と中河原1号井・中河原2号井（神山）の 4 本、寄簡易水道は弥勒寺1号井・宮地田代第2水源・弥勒寺第2水源・宇津茂第2水源の 4 本（DOC_MTD_VISION p14-25）。「現在、上水道事業では4ヶ所の深井戸と、簡易水道事業では湧水である稲郷水源と4ヶ所の深井戸を水源としています」（同 p30）。**涵養域は町の資料に記載が無い**ので「松田町の地下水」で止めてある,DOC_MTD_VISION
SRC_MATSUDA_SPRING,稲郷水源の湧水,spring,,,,,,松田町寄4297。計画取水量 3 m3/日（DOC_MTD_VISION p18）。「稲郷水源系統は湧水である稲郷水源から取水した水を自然流下で稲郷配水池へ送り、滅菌処理を行い、自然流下で配水しています」（同 p24）。「稲郷水源は降雨による影響が少なく安定した取水を行っています」（同 p30）。かつて水源だった 6 か所の湧水は予備水源（同 p30）,DOC_MTD_VISION
SRC_HADANO_RECHARGE,丹沢山地（秦野の地下水の涵養域）,groundwater,,,,,,秦野市の地下水と湧水の涵養域。「丹沢山地に降った雨などが地下に浸み込み、ゆっくりとしたスピード（1日に1メートル程度）で移動し、自然ろ過できれいになりながら、地下にたまっていきます」「秦野市の水道水は、地下水盆に蓄えられた地下水、河川水を主な水源としており」（DOC_HAD_DEKIRUMADE）。**事業体自身の水源解説ページに涵養域が書かれている数少ない例**なので親の水源として立ててある。水質検査計画（DOC_HAD_WEP_R8）と統計要覧（DOC_HAD_TOUKEI_R6）には涵養域の記述は無い。flow_edge では使わない（ドリルダウン表示用）,DOC_HAD_DEKIRUMADE
SRC_HADANO_GW,秦野市の地下水,groundwater,,SRC_HADANO_RECHARGE,,,,深井戸 33 本・浅井戸 7 本（DOC_HAD_WEP_R8 p2、井戸の一覧は DOC_HAD_TOUKEI_R6 p21）。令和6年度の水源別取水量は深井戸 9616837 ㎥（50.21%）＋浅井戸 4421349 ㎥（23.09%）（DOC_HAD_TOUKEI_R6 p26）で市の最大の水源。「清浄な地下水を水源としているため、次亜塩素酸ナトリウムによる塩素消毒のみの処理」（DOC_HAD_WEP_R8 p4）。涵養域は SRC_HADANO_RECHARGE（丹沢山地）,DOC_HAD_TOUKEI_R6
SRC_HADANO_SPRING,秦野の湧水,spring,,SRC_HADANO_RECHARGE,,,,寺山取水場（蓑毛）・蓑毛取水場（蓑毛）・大久保取水場（八沢）・横野取水場（菩提）の湧水（DOC_HAD_TOUKEI_R6 p22）。令和6年度の取水量 760903 ㎥（3.97%。同 p26）。涵養域は地下水と同じ丹沢山地（DOC_HAD_DEKIRUMADE）。※水質検査計画 p2 は湧水を 3 か所とし統計要覧 p22 は 4 か所を挙げていて数が合わないが、どちらの資料にも理由の断りが無いのでそのまま両方を記録している,DOC_HAD_TOUKEI_R6
SRC_MIZUNASHIGAWA,水無川,river,金目川水系,,水無川,,,秦野市 猿渡取水場・深沢取水場の原水。「秦野市では水無川上流から取水している水が表流水にあたり、水道水源となる河川水のうち、約9割を占めています」「丹沢から流れる水無川や四十八瀬川の水を水源としています」（DOC_HAD_DEKIRUMADE）。水利権は「金目川水系 水無川 集水埋渠 猿渡･深沢 0.069444 m3/秒」（DOC_KAN_SUIDOU_R5 p24）,DOC_HAD_DEKIRUMADE
SRC_SHIJUHASSEGAWA,四十八瀬川,river,酒匂川水系,SRC_SAKAWA,四十八瀬川,,,秦野市 森戸下取水場の原水（伏流水）。「秦野市では四十八瀬川上流から取水している水が伏流水にあたり、水道水源となる河川水のうち、約1割を占めています」（DOC_HAD_DEKIRUMADE）。水利権は「酒匂川水系 四十八瀬川 伏流 集水埋渠 森戸下･三廻部 0.005208 m3/秒」（DOC_KAN_SUIDOU_R5 p24）。酒匂川の支流だが取水地点が飯泉よりはるか上流で系統が分かれるため別の水源として扱う,DOC_HAD_DEKIRUMADE
SRC_ZAMA_GW,座間市の地下水,groundwater,,,,,,第1〜第3水源（浅井戸）と深井戸1・3・4・5・7号井の計 8 か所（DOC_ZAM_GAIYOU_R5 p10-11）。うち第3水源は PFOS・PFOA が暫定目標値を超過して**令和3年11月より取水を停止**している（DOC_ZAM_WEP_R8 p4）。「本市水道は、水源で汲み上げた清浄な地下水を各配水場で県水と混合し、次亜塩素酸ナトリウムによる塩素消毒処理を行い配水しております」（同 p2）。**涵養域は上下水道局の資料（水質検査計画・公営企業概要・経営戦略2035概要版）に記載が無い**ので「座間市の地下水」で止めてある。市の環境部門（生活安全課）には地下水総合調査の資料があるが水道事業体の資料ではないので採っていない,DOC_ZAM_WEP_R8
SRC_MINASEGAWA,皆瀬川,river,酒匂川水系,SRC_SAKAWA,皆瀬川,,,山北町 皆瀬川水源（伏流水）の原水。水利権は「酒匂川水系 皆瀬川 安定 0.049 m3/秒 伏流 取水塔 蛇石」（DOC_KAN_SUIDOU_R5 p24）。皆瀬川浄水場の計画取水能力 4200 m3/日（DOC_YMK_WEP_R8 p4 表1）。酒匂川の支流だが取水地点が飯泉よりはるか上流で系統が分かれるため別の水源として扱う,DOC_YMK_WEP_R8
SRC_YAMAKITA_GW,山北町の地下水,groundwater,,,,,,怒杭水源（560 m3/日）と前耕地第1・第2水源（合わせて 4380 m3/日）の深井戸（DOC_YMK_WEP_R8 p4 表1）。**涵養域は町の資料に記載が無い**ので「山北町の地下水」で止めてある,DOC_YMK_WEP_R8
SRC_SHINZAKIGAWA,新崎川,river,新崎川水系,,新崎川,,,湯河原町 吉浜上水道 第2新崎川水源（表流水）の原水。水利権は「新崎川水系 新崎川 安定 0.065 m3/秒 地表 堰止め 幕山」（DOC_KAN_SUIDOU_R5 p24）。「過去には第 1 新崎川水源から取水していましたが、現在は第 2 新崎川水源で表流水を取水しており、第 1 新崎川水源は予備水源としています」（DOC_YGW_WEP_R8 p2-7）,DOC_YGW_WEP_R8
SRC_AKEJISAWA,アケジ沢（千歳川水系）,river,千歳川水系,,アケジ沢,,,湯河原町 湯河原上水道 アケジ沢水源（表流水）の原水。「湯河原上水道の千歳川水系アケジ沢水源は表流水を採水しています」（DOC_YGW_WEP_R8 p2-3）。水利権は「アケジ沢 表流水 不要 0.11 m3/秒 地表 堰止め 広河原」（DOC_KAN_SUIDOU_R5 p24。県の表には水系名が無く、町の資料の方が詳しい）,DOC_YGW_WEP_R8
SRC_YUGAWARA_TUNNEL,湯河原町のトンネル湧水,spring,,,,,,南郷水源（東海道新幹線南郷山トンネルの湧水）と城堀第1水源（東海道新幹線城堀トンネルの湧水）。「吉浜上水道の第２新崎川水源は表流水を採水、南郷水源は東海道新幹線南郷トンネルの湧水を採水、城堀第１水源は東海道新幹線城堀トンネルの湧水を採水、城堀第４水源は深井戸から採水しています」（DOC_YGW_WEP_R8 p2-3）。令和8年度の表2.1 は種別を「地下水」と書くが本文は湧水と説明しており、県の統計も湧水に分類している（DOC_KAN_SUIDOU_R5 p23）ので spring として置いた。**涵養域は町の資料に記載が無い**,DOC_YGW_WEP_R8
SRC_YUGAWARA_GW,湯河原町の地下水,groundwater,,,,,,吉浜上水道 城堀第4水源の深井戸（DOC_YGW_WEP_R8 p2-3）。城堀第2水源は予備。**涵養域は町の資料に記載が無い**,DOC_YGW_WEP_R8
SRC_MIYASHITA_SPRING,宮下地区の湧水,spring,,,,,,宮下簡易水道の主水源。令和5年度の年間取水量は湧水・その他 3 箇所 603781 ㎥で全体の 98.7%（DOC_KAN_SUIDOU_R5 p51）。**水源名・所在地・涵養域は組合の資料が取得できず不明**（組合サイト yugawara-m626.sakura.ne.jp は TLS 証明書がホスト名と一致せず取得できなかった）。種別と水量は県の統計からのみ分かる,DOC_KAN_SUIDOU_R5
SRC_MIYASHITA_GW,宮下地区の地下水,groundwater,,,,,,宮下簡易水道の深井戸 2 箇所。令和5年度の年間取水量 7705 ㎥（1.3%。DOC_KAN_SUIDOU_R5 p51）。**水源名・所在地・涵養域は不明**（同上）,DOC_KAN_SUIDOU_R5
SRC_MANAZURU_SPRING,真鶴町のトンネル湧水,spring,,,,,,江之浦水源水系 第1水源。「第１水源は、東海道本線の鉄道トンネルからの湧水を取水しており」（DOC_MNZ_WEP p3）。令和5年度の年間取水量 1045 千㎥で町の取水量の 75%（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**,DOC_MNZ_WEP
SRC_MANAZURU_GW,真鶴町の地下水,groundwater,,,,,,江之浦第3水源・岩1号水源・岩2号水源・棚子下水源の深井戸 4 本（DOC_MNZ_WEP p2 表2.1・p3・p4）。令和5年度の年間取水量 47 千㎥（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**,DOC_MNZ_WEP
SRC_NAKATSUGAWA,中津川,river,相模川水系,SRC_SAGAMI,中津川,,,相模川の支流。清川村 塩水水源（伏流水）と愛川町の高取・南山・塩川水源（表流水）の原水。清川村は「中津川起点（本谷川と塩水川の合流点）の下流部において、集水井により伏流水を取水し」（DOC_KYK_WEP_R8 p1）、愛川町は水利権「相模川水系 中津川 取水堰 高取 / 南山 / 塩川」（DOC_KAN_SUIDOU_R5 p24）。宮ヶ瀬ダム（SRC_MIYAGASE）も中津川にあるが、清川村の取水地点はダムよりはるか上流で系統が分かれるため別の水源として扱う,DOC_KYK_WEP_R8
SRC_AIKAWA_STREAM,滝ノ沢の渓流水（愛川町三増）,river,,,,,,愛川町 高峰浄水場の原水。「(5)水源の名称 塩川添水源、戸倉水源、滝ノ沢水源、中津水源 (6)水源種別 表流水（河川水）2、地下水（浅井戸）5」（DOC_AIK_WEP_R8 p1）で、表 1 の浄水施設の概要では高峰浄水場（三増字滝ノ沢）だけが水源「表流水」。配水系統図では滝ノ沢第1水源 680 + 第2水源 1320 m3/日で、これが表流水 2 か所にあたる（DOC_AIK_KEITOZU）。**町の資料は河川名を書いていない。**県の水利権表は愛川町の地表水を「相模川水系 中津川」とし取水地点を高取・南山・塩川の 3 か所としているが（DOC_KAN_SUIDOU_R5 p24）、高取浄水場・細野浄水場は休止中（同 p2「※細野浄水場については、R2 年度より使用休止」・DOC_AIK_KEITOZU「高取浄水場（休止中）」）で、現に使われている滝ノ沢水源は水利権表に出てこない（河川法23条の許可が不要な小規模取水）。そのため水系名は空にしてある,DOC_AIK_WEP_R8
SRC_AIKAWA_GW,愛川町の地下水,groundwater,,,,,,塩川添浄水場・戸倉浄水場・中津浄水場の原水である浅井戸 5 か所（DOC_AIK_WEP_R8 p1「水源種別 表流水（河川水）2、地下水（浅井戸）5」・p1-2 表1・DOC_AIK_KEITOZU）。令和5年度の年間取水量 浅井戸 3308 千㎥で町の取水量の 85.5%（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**ので「愛川町の地下水」で止めてある,DOC_AIK_WEP_R8
SRC_SUKUMOGAWA,須雲川,river,早川水系,,須雲川,,,箱根町営水道の表流水 4 水源（初花・須雲川・二ノ戸沢・天狗沢）の原水。いずれも大字須雲川の中にあり、須雲川とその支流から取水している（DOC_HKN_WEP 表2.1）。水利権は「早川水系・須雲川 安定 0.025 m3/秒 地表 雑木」（DOC_KAN_SUIDOU_R5 p24。取水地点「雑木」は須雲川水源の所在地「須雲川雑木12」と一致する）,DOC_HKN_WEP
SRC_HAKONE_GW,箱根町の地下水,groundwater,,,,,,鷹ノ巣・二ノ平第2・大芝・箱根神社・蛭川第1・蛭川第2・箱根第1（予備）・箱根第2の深井戸 8 か所（DOC_HKN_WEP 表2.1・表3.1）。令和5年度の年間取水量 深井戸 1155 千㎥（DOC_KAN_SUIDOU_R5 p26）。**涵養域は町の資料に記載が無い**ので「箱根町の地下水」で止めてある,DOC_HKN_WEP
