facility_id,utility_id,name,type,lat,lon,note_ja,source_doc_id
FAC_KGD_SAKAWA_TRUNK,UTL_KIGYODAN,酒匂川系導水路（飯泉〜相模原ポンプ場）,junction,,,飯泉取水堰（酒匂川）と社家ポンプ場（相模川）の水が合流して伊勢原・相模原・西長沢へ向かう導水路。給水系統図の表題が「酒匂川水系（一部相模川水系分を含む）」であることから両水系が混ざることは確実だが混合比は公表資料に無い。ここでは取水能力比で置いてある（basis=nominal）,DOC_KGD_GAIYOU_R8
FAC_KGD_FUCHINOBE,UTL_KIGYODAN,淵野辺接合井,junction,,,相模原市中央区淵野辺本町。容量3000 m3。ここに沼本取水口（相模川）142000 m3/日が入り 937700 m3/日が西長沢浄水場へ（DOC_KGD_GAIYOU_R8 p41・p49）,DOC_KGD_GAIYOU_R8
FAC_KGD_ISEHARA,UTL_KIGYODAN,伊勢原浄水場,purification,,,伊勢原市日向1297。施設能力 220000 m3/日・計画1日最大給水量 204600 m3/日。神奈川県と横須賀市へ送水（DOC_KGD_GAIYOU_R8 p43・p49）,DOC_KGD_GAIYOU_R8
FAC_KGD_SAGAMIHARA,UTL_KIGYODAN,相模原浄水場,purification,,,相模原市南区下溝2714。施設能力 527600 m3/日・計画1日最大給水量 490700 m3/日。神奈川県と横浜市へ送水（DOC_KGD_GAIYOU_R8 p44・p49）,DOC_KGD_GAIYOU_R8
FAC_KGD_NISHINAGASAWA,UTL_KIGYODAN,西長沢浄水場,purification,,,川崎市宮前区潮見台4-1。施設能力 937700 m3/日・計画1日最大給水量 872000 m3/日。横浜市と川崎市へ送水（DOC_KGD_GAIYOU_R8 p45・p49）,DOC_KGD_GAIYOU_R8
FAC_KGD_AYASE,UTL_KIGYODAN,綾瀬浄水場,purification,,,綾瀬市吉岡887。施設能力 500000 m3/日・計画1日最大給水量 465000 m3/日。神奈川県・横浜市・横須賀市へ送水（DOC_KGD_GAIYOU_R8 p46・p50）,DOC_KGD_GAIYOU_R8
FAC_KGD_SAMUKAWA_JP,UTL_KIGYODAN,寒川浄水場,purification,,,計画1日最大給水量 318500 m3/日。神奈川県へ送水（DOC_KGD_GAIYOU_R8 p50）,DOC_KGD_GAIYOU_R8
FAC_KEN_SAMUKAWA_IN,UTL_KENEI,寒川取水堰（県営水道分）,intake,,,相模川。「相模川の寒川取水堰より取水」（DOC_KEN_WEP_R8 p3）。河口から約6.5km（同 p4）。企業団の FAC_KGD_SAMUKAWA と同じ堰だが取水主体が違うので別の施設として置いてある,DOC_KEN_WEP_R8
FAC_KEN_SAMUKAWA_JP,UTL_KENEI,寒川浄水場（県営水道）,purification,,,寒川町宮山。表流水・急速ろ過（DOC_KEN_WEP_R8 p3）。県営水道の送水量の31.0%を占める最大の浄水場（DOC_KEN_NENPO_R4 p40）。同じ寒川町宮山に企業団の寒川浄水場（FAC_KGD_SAMUKAWA_JP・相模川水系寒川事業）があり県営が浄水委託を受けて第3浄水場浄水池を運転している（DOC_KEN_WEP_R8 p10）。原水はどちらも寒川取水堰の相模川で同じなのでブレンド比率は変わらない,DOC_KEN_WEP_R8
FAC_KEN_NUMOTO,UTL_KENEI,沼本ダム取水（県営水道分）,intake,,,相模川。「相模川の沼本ダム（相模湖放流水）より取水」（DOC_KEN_WEP_R8 p3）。横浜市の FAC_YOK_NUMOTO・企業団の FAC_KGD_NUMOTO と同じ地点だが取水主体が違うので別の施設として置いてある,DOC_KEN_WEP_R8
FAC_KEN_YAGAHARA,UTL_KENEI,谷ケ原浄水場,purification,,,相模原市緑区谷ヶ原。表流水・急速ろ過（DOC_KEN_WEP_R8 p3）。「主に相模湖を水源としています」（同 p4）。相模原市・厚木市・愛川町の2市1町に給水（DOC_KEN_YAGAHARA）。県営水道の送水量の13.8%（DOC_KEN_NENPO_R4 p40）。緩速ろ過（伏流水）は休止,DOC_KEN_WEP_R8
FAC_KEN_OCHIAI,UTL_KENEI,落合浄水場,purification,,,相模原市緑区澤井。表流水・膜ろ過。栃谷川より取水（DOC_KEN_WEP_R8 p3）。小規模浄水場（計画送水量10万m3/日未満）,DOC_KEN_WEP_R8
FAC_KEN_KAMASAWA,UTL_KENEI,鎌沢浄水場,purification,,,相模原市緑区佐野川。表流水・膜ろ過。佐野川より取水（DOC_KEN_WEP_R8 p3）。小規模浄水場,DOC_KEN_WEP_R8
FAC_KEN_WADA,UTL_KENEI,和田浄水場,purification,,,相模原市緑区佐野川。表流水・膜ろ過。沢井川より取水（DOC_KEN_WEP_R8 p3）。小規模浄水場,DOC_KEN_WEP_R8
FAC_KEN_OYAMA,UTL_KENEI,大山浄水場,purification,,,伊勢原市大山。表流水・膜ろ過。大山川より取水（DOC_KEN_WEP_R8 p3）。小規模浄水場,DOC_KEN_WEP_R8
FAC_KEN_TORIYA,UTL_KENEI,鳥屋浄水場,purification,,,相模原市緑区鳥屋。伏流水・急速ろ過。早戸川の伏流水を取水（DOC_KEN_WEP_R8 p3）。小規模浄水場,DOC_KEN_WEP_R8
FAC_KEN_NAGANO,UTL_KENEI,長野浄水場,purification,,,相模原市緑区青野原。伏流水・膜ろ過。休止（DOC_KEN_WEP_R8 p3）。休止中なので flow_edge は引いていない,DOC_KEN_WEP_R8
FAC_KEN_ITALY,UTL_KENEI,イタリー浄水場,purification,,,箱根町仙石原。湧水・膜ろ過（DOC_KEN_WEP_R8 p3）。箱根地区は平成26年度から包括委託（受託者 箱根水道パートナーズ株式会社）,DOC_KEN_WEP_R8
FAC_KEN_SHINONOKI,UTL_KENEI,品ノ木浄水場,purification,,,箱根町仙石原。湧水・膜ろ過（DOC_KEN_WEP_R8 p3）,DOC_KEN_WEP_R8
FAC_KEN_MIZUDONO,UTL_KENEI,水土野水源,purification,,,箱根町仙石原。湧水・紫外線処理（DOC_KEN_WEP_R8 p3）。浄水場ではなく水源だが処理施設なので purification として置いてある,DOC_KEN_WEP_R8
FAC_KEN_HAKONE,UTL_KENEI,箱根地区配水（湧水系）,junction,,,箱根町の給水区域に配る水。イタリー・品ノ木・水土野の3施設の混合（DOC_KEN_WEP_R8 p3・p8 の給水栓検査地点が箱根町元箱根＝イタリー系・仙石原＝品ノ木系・宮城野＝水土野系）。3施設の分担比は非公表だがいずれも原水は箱根町内の湧水なので合成結果は変わらない,DOC_KEN_WEP_R8
FAC_KEN_SAGAMIKEI,UTL_KENEI,県営水道 相模川系配水（寒川・谷ケ原・企業団綾瀬の混合）,junction,,,酒匂川系（企業団の伊勢原・相模原浄水場）が入らない給水区域に配る水。寒川浄水場・谷ケ原浄水場・企業団綾瀬浄水場の3系統はいずれも原水が相模川100%なので、3者の配分がずれても合成結果は相模川100%で変わらない。配分値は令和4年度の送水量水源別構成（DOC_KEN_NENPO_R4 p40）と企業団受水地点別実績（同 p38）から出した事業体全体の平均,DOC_KEN_NENPO_R4
FAC_KEN_JUSUI,UTL_KENEI,県営水道 企業団受水（3浄水場の合計）,junction,,,県営水道は企業団の綾瀬・伊勢原・相模原の3浄水場から用水供給を受けている（DOC_KEN_WEP_R8 p3）。受水地点別の年度別実績（DOC_KEN_NENPO_R4 p38）から浄水場別の受水量比を出した。県営水道の送水量の53.9%が企業団受水（同 p40）。どの配水系統に何割入るかは非公表なので zone_rule では使っていない,DOC_KEN_NENPO_R4
FAC_KEN_SAGAMIHARA,UTL_KENEI,県営水道 相模原市配水（谷ケ原・企業団相模原の混合）,junction,,,相模原市中央区・南区に配る水。主要配水系統図（DOC_KEN_NENPO_R4 p41）で給水地域「相模原市内」は谷ケ原浄水場の北相配水本管系と企業団相模原浄水場の企業団系（淵野辺・麻溝台・当麻・上鶴間の各受水地点）の両方から描かれている。給水栓検査地点も相模原市中央区千代田＝谷ケ原浄水場系（DOC_KEN_WEP_R8 p8）。混合比は公表されていないので流入辺は basis=unknown（share 空）。緑区は落合・鎌沢・和田・鳥屋の小規模浄水場系が混在するのでこの junction に含めていない,DOC_KEN_NENPO_R4
FAC_KEN_HIRATSUKA,UTL_KENEI,県営水道 平塚市配水（寒川西系・企業団伊勢原の混合）,junction,,,主要配水系統図（DOC_KEN_NENPO_R4 p41）で寒川浄水場（西系）の湘南西配水本管に給水地域「平塚・厚木・伊勢原市内」と「平塚市内」があり、企業団伊勢原浄水場の南金目受水地点からも給水地域「平塚市内」が出ている。吉沢受水地点（企業団伊勢原）→平塚配水池もある。混合比は非公表なので流入辺は basis=unknown（share 空）,DOC_KEN_NENPO_R4
FAC_KEN_ATSUGI,UTL_KENEI,県営水道 厚木市配水（寒川西系・谷ケ原・企業団伊勢原・企業団相模原の混合）,junction,,,給水栓検査地点「厚木市 上荻野＝谷ケ原・伊勢原・相模原浄水場混合系」「厚木市 旭町＝寒川浄水場系」（DOC_KEN_WEP_R8 p8）が4系統すべてを名指ししている。主要配水系統図（DOC_KEN_NENPO_R4 p41）でも湘南西配水本管の「平塚・厚木・伊勢原市内」・北相系の中荻野/上荻野東部/飯山・企業団伊勢原の「伊勢原・厚木市内」/「厚木市内」（小野受水地点）/厚木低区/高森が並ぶ。混合比は非公表なので流入辺は basis=unknown（share 空）,DOC_KEN_WEP_R8
FAC_KEN_YAMATO,UTL_KENEI,県営水道 大和市配水（企業団相模原・企業団綾瀬の混合）,junction,,,給水栓検査地点「大和市 深見＝綾瀬・相模原浄水場混合系」（DOC_KEN_WEP_R8 p8）。主要配水系統図（DOC_KEN_NENPO_R4 p41）でも企業団相模原浄水場の下鶴間・上鶴間・上和田受水地点から給水地域「大和市内」「大和・綾瀬市内」、企業団綾瀬浄水場の大和受水地点→大和配水池→給水地域「大和市内」。混合比は非公表なので流入辺は basis=unknown（share 空）,DOC_KEN_WEP_R8
FAC_KEN_AYASE,UTL_KENEI,県営水道 綾瀬市配水（寒川東系・企業団伊勢原・企業団相模原の混合）,junction,,,主要配水系統図（DOC_KEN_NENPO_R4 p41）で吉岡・杉久保配水池が寒川浄水場（東系）の吉岡送水管/海老名送水管と企業団伊勢原浄水場の本郷受水地点の両方から受けており、そこから給水地域「綾瀬・海老名市内」が出ている。加えて企業団相模原浄水場の上和田受水地点から給水地域「大和・綾瀬市内」。混合比は非公表なので流入辺は basis=unknown（share 空）,DOC_KEN_NENPO_R4
FAC_KEN_EBINA,UTL_KENEI,県営水道 海老名市配水（寒川東系・企業団伊勢原・企業団相模原・企業団綾瀬の混合）,junction,,,給水栓検査地点「海老名市 門沢橋＝寒川・伊勢原浄水場混合系」「海老名市 望地＝相模原浄水場系」（DOC_KEN_WEP_R8 p8）。主要配水系統図（DOC_KEN_NENPO_R4 p41）では吉岡・杉久保配水池（寒川東系＋企業団伊勢原の本郷受水地点）→給水地域「綾瀬・海老名市内」と、企業団綾瀬浄水場の上今泉受水地点→上今泉配水池（海老名市上今泉）。混合比は非公表なので流入辺は basis=unknown（share 空）,DOC_KEN_WEP_R8
FAC_KEN_ISEHARA,UTL_KENEI,県営水道 伊勢原市配水（寒川西系・企業団伊勢原の混合）,junction,,,主要配水系統図（DOC_KEN_NENPO_R4 p41）で寒川浄水場（西系）の湘南西配水本管に給水地域「平塚・厚木・伊勢原市内」、企業団伊勢原浄水場の日向受水地点から給水地域「伊勢原・厚木市内」、上粕屋受水地点から三ノ宮低区・三ノ宮高区。給水栓検査地点「伊勢原市 善波＝伊勢原浄水場系」（DOC_KEN_WEP_R8 p8）。混合比は非公表なので流入辺は basis=unknown（share 空）。市内の大山地区は大山浄水場系（同 p8）なので zone_assignment で別に割り付けてある,DOC_KEN_NENPO_R4
FAC_KEN_ODAWARA,UTL_KENEI,県営水道 小田原市配水（寒川・企業団伊勢原の混合）,junction,,,小田原市の給水区域は市の東部の一部のみ（DOC_KEN_KUIKI_ODAWARA）。給水栓検査地点「小田原市 沼代＝寒川・伊勢原浄水場混合系」（DOC_KEN_WEP_R8 p8）が顔ぶれを名指ししている。主要配水系統図（DOC_KEN_NENPO_R4 p41）には小田原市の給水地域が描かれていないので、系統図側からの裏付けは無い。混合比は非公表なので流入辺は basis=unknown（share 空）,DOC_KEN_WEP_R8
FAC_KWS_NUMOTO,UTL_KAWASAKI,沼本取水口（川崎市分）,intake,,,「川崎市の水源は、富士五湖の山中湖及び忍野湧水を源とし、桂川を経て相模湖に貯えられた水です。相模湖下流の沼本取水口で取水され長沢浄水場に送られています」（DOC_KWS_SUISHITSU_R8 p2）。横浜市の FAC_YOK_NUMOTO・企業団の FAC_KGD_NUMOTO・県営の FAC_KEN_NUMOTO と同じ地点だが取水主体が違うので別の施設として置いてある,DOC_KWS_SUISHITSU_R8
FAC_KWS_NAGASAWA,UTL_KAWASAKI,長沢浄水場,purification,,,川崎市多摩区三田5-1-1。敷地面積 198000 m2・施設能力 280000 m3/日。原水の種類は「相模川水系ダム放流水」で急速ろ過方式（DOC_KWS_SUISHITSU_R8 p3 表−1）。川崎市の自己水源はこの1浄水場のみ。**多摩川からの取水は資料に出てこない**（水源の水質検査地点も桂川橋・相模湖大橋・弁天橋・三井大橋の相模川水系4か所のみ。同 p2）。企業団の西長沢浄水場（FAC_KGD_NISHINAGASAWA・宮前区潮見台）とは別の施設なので混同しないこと,DOC_KWS_SUISHITSU_R8
FAC_KWS_IKUTA,UTL_KAWASAKI,生田配水池,reservoir,,,多摩区生田5-30-1。有効容量 47698 m3（DOC_KWS_SHISETSU）。長沢浄水場と企業団西長沢浄水場の両方から受ける（DOC_KWS_SUISHITSU_R8 p11 図−7 の凡例「長・企→生田配水池」）。混合比は公表されていないので流入辺は basis=unknown,DOC_KWS_SUISHITSU_R8
FAC_KWS_TAKAISHI,UTL_KAWASAKI,高石配水塔,reservoir,,,麻生区高石。図−7 の凡例「長・企→高石配水塔」（DOC_KWS_SUISHITSU_R8 p11）。長沢浄水場と企業団西長沢浄水場の混合。混合比は非公表,DOC_KWS_SUISHITSU_R8
FAC_KWS_MIYAZAKI,UTL_KAWASAKI,宮崎配水塔,reservoir,,,宮前区宮崎。図−7 の凡例「長・企→宮崎配水塔」（DOC_KWS_SUISHITSU_R8 p11）。長沢浄水場と企業団西長沢浄水場の混合。混合比は非公表,DOC_KWS_SUISHITSU_R8
FAC_KWS_SAGINUMA,UTL_KAWASAKI,鷺沼配水池,reservoir,,,宮前区土橋3-1-1。有効容量 109608 m3 で川崎市最大（DOC_KWS_SHISETSU）。図−7 の凡例「長・企→鷺沼配水池」（DOC_KWS_SUISHITSU_R8 p11）。混合比は非公表,DOC_KWS_SUISHITSU_R8
FAC_KWS_SUEYOSHI,UTL_KAWASAKI,末吉配水池,reservoir,,,横浜市鶴見区上末吉1-4-1。有効容量 72082 m3（DOC_KWS_SHISETSU）。所在地は横浜市内だが川崎市の施設で、川崎区・幸区に配る。企業団の西長沢浄水場から川崎市への給水地点「末吉」（横浜市鶴見区上末吉）もここ（DOC_KGD_GAIYOU_R8 p49）。図−7 の凡例「長・企→末吉配水池」（DOC_KWS_SUISHITSU_R8 p11）。混合比は非公表,DOC_KWS_SUISHITSU_R8
FAC_YKS_SHAGE,UTL_YOKOSUKA,社家導水ポンプ（横須賀市 有馬系統の取水）,intake,,,海老名市社家。「相模大堰から水を取り入れ」約2km離れた有馬浄水場へ送る（DOC_YKS_KEITO_ARIMA）。水源は相模川水系相模川自流水で供給可能水量 73900 m3/日（DOC_YKS_KEITO）。企業団の相模大堰（FAC_KGD_SAGAMIOZEKI）と同じ堰だが取水主体が違うので別の施設として置いてある,DOC_YKS_KEITO_ARIMA
FAC_YKS_ARIMA,UTL_YOKOSUKA,有馬浄水場,purification,,,海老名市中河内1767。敷地面積 46500 m2・供給可能水量 73900 m3/日・原水の種類は表流水（相模川）（DOC_YKS_WEP_R8 p3）。「相模大堰からの水を浄水するとともに、神奈川県内広域水道企業団伊勢原浄水場からの水を受け入れ、横須賀市内へ送っています」（DOC_YKS_KEITO_ARIMA）。企業団の給水地点「有馬」（海老名市中河内。DOC_KGD_GAIYOU_R8 p49）がここ。浄水処理は粉末活性炭・前塩素・凝集沈でん・活性炭吸着・中間塩素・急速ろ過・後塩素,DOC_YKS_KEITO_ARIMA
FAC_YKS_HASHIRIMIZU,UTL_YOKOSUKA,走水水源地,purification,,,横須賀市走水1-2。湧水を膜ろ過（UF膜）して配水する。処理能力 1000 m3/日（DOC_YKS_WEP_R8 p3）。明治9年築造で横須賀市内唯一の水源（DOC_YKS_KEITO_HASHIRIMIZU）。浄水場ではなく水源地だが処理施設なので purification として置いてある,DOC_YKS_WEP_R8
FAC_YKS_CITY,UTL_YOKOSUKA,横須賀市配水（5水源系統の混合）,junction,,,市内全域に配る水。有馬浄水場・小雀浄水場（横浜市との共同施設）・企業団綾瀬浄水場・走水水源地の4つから受けた浄水が配水池を通って市内全域に配られる（DOC_YKS_WEP_R8 p4「その浄水を市内全域に配るための配水池」）。流入比は令和6年度の系統別着水量の実績（DOC_YKS_TOUKEI_R6 p31・p32）。**市全体の年間平均であって町丁目ごとの実測ではない**ので流入辺は basis=estimated にしてある。実際には配水ブロックごとに構成が違い、北ブロックは小雀・宮ヶ瀬系統だけ・走水系統は東ブロックの一部だけ、と資料に明記がある（DOC_YKS_WEP_R8 p13）が、ブロックの境界は町丁目の粒度で公表されていない,DOC_YKS_TOUKEI_R6
FAC_ODW_IIZUMI,UTL_ODAWARA,飯泉取水ポンプ所（小田原市分）,intake,,,「高田浄水場の原水は、飯泉取水ポンプ所から取水している酒匂川の表流水です」（DOC_ODW_WEP_R8 p5）。「※１ 神奈川県内広域水道企業団飯泉取水ポンプ所」（同 p2）で、施設は企業団の飯泉取水堰の中にあるが小田原市が**原水**を取水するもので浄水受水ではない。企業団の FAC_KGD_IIZUMI とは取水主体が違うので別の施設として置いてある,DOC_ODW_WEP_R8
FAC_ODW_TAKATA,UTL_ODAWARA,高田浄水場,purification,,,小田原市高田401。原水の種類は酒匂川表流水、処理能力 80000 m3/日、薬品凝集沈澱－急速ろ過方式（DOC_ODW_WEP_R8 p3 表2.2）。主な送水先は中河原配水池・久野配水池。市全体の浄水処理の約86%を担う（DOC_ODW_TAKATA）。※同ページは再整備後の公称能力を 50000 m3/日としており p3 の 80000 と食い違うが、どちらの資料にも新旧の別の断りが無いのでここでは水質検査計画の値をそのまま書いている,DOC_ODW_WEP_R8
FAC_ODW_CITY,UTL_ODAWARA,小田原市配水（酒匂川・地下水・湧水の混合）,junction,,,市営給水区域に配る水。流入比は令和5年度の年間取水量の実績（DOC_KAN_SUIDOU_R5 p26）＝ダム放流 20995 / 深井戸 2777 / 湧水 262 千㎥。市の FAQ「原水の約86％を酒匂川から取水…残りの約14％を次の水源地の地下水から取水しています」（DOC_ODW_FAQ_MIZU）とも一致する。**市全体の年間平均であって町丁目ごとの実測ではない**ので流入辺は basis=estimated。実際には高田浄水場系（中河原・久野配水池）と小峰配水池系・片浦地区で系統が分かれるが、配水区域の境界は町丁目の粒度で公表されていない,DOC_KAN_SUIDOU_R5
FAC_MAS_YAGURASAWA,UTL_MINAMIASHIGARA,矢倉沢浄水場,purification,,,南足柄市矢倉沢1663-2。公称能力 15500 m3/日。着水池・凝集池・傾斜板沈殿池・急速ろ過池・浄水池（DOC_MAS_WEP_R8 p4 表2-3）。原水は第2水源（矢倉沢2072・表流水）＝狩川（DOC_MAS_ANZEN_R8 p2）。市内全体の約60%の水を供給（DOC_MAS_JOSUI）,DOC_MAS_WEP_R8
FAC_MAS_CITY,UTL_MINAMIASHIGARA,南足柄市配水（狩川・地下水・湧水の混合）,junction,,,市内全域に配る水。流入比は令和5年度の年間取水量の実績（DOC_KAN_SUIDOU_R5 p26）＝表流水 5041 / 深井戸 2086 / 湧水 139 千㎥。**市全体の年間平均であって町丁目ごとの実測ではない**ので流入辺は basis=estimated。実際には矢倉沢・岩原・班目・上怒田・内山・丸太の森・地蔵堂の 7 配水区域に分かれており図（DOC_MAS_HAISUI_ZU）で公表されているが、町丁目の粒度には落ちない,DOC_KAN_SUIDOU_R5
FAC_MIU_CITY,UTL_MIURA,三浦市配水（横須賀市からの受水）,junction,,,市内全域に配る水。武分水点・津久井分水点・津久井第2分水点の 3 か所で横須賀市から浄水を受ける（DOC_MIU_VISION p37 図4-2-4）。「「市外水源」とは横須賀市からの受水を示します」（DOC_MIU_WEP_R8 p2）。令和5年度の年間取水量は市外水源 5626 千㎥・自己水源 0（DOC_KAN_SUIDOU_R5 p26）。**注意**: 三浦市の水質検査計画 p3 は水源を「綾瀬浄水場（企業団）及び小雀浄水場（横浜市・横須賀市の共同施設）」の 2 つと書いており、横須賀市の有馬浄水場・走水水源地には触れていない。ここでは横須賀市の配水（FAC_YKS_CITY・市全体の年間平均）をそのまま繋いでいるので、走水の湧水 0.5% 分が三浦市にも乗る。横須賀市の資料は走水系統が東ブロックの一部だけであることを明記している（DOC_YKS_WEP_R8 p13）のでこの 0.5% は上限とみるべきで、confidence は low,DOC_MIU_WEP_R8
FAC_NKI_CITY,UTL_NAKAI,中井町配水（地下水のみ）,junction,,,久所浄水場水系・井ノ口水源水系・宮原水源水系・大久保水源水系・雑色水源水系の 5 系統に分かれるが（DOC_NKI_WEP_R8 p3 表2）、原水はいずれも中井町の地下水なので系統が違っても水源は変わらない。系統ごとの給水区域は大字単位で公表されている（中村中・中村下・井ノ口上・境・岩倉・井ノ口中・井ノ口下・遠藤原・砂口・六斗山・宮原・半分形・田中・古怒田・雑色・中村上ほか）が、e-Stat の町丁目名との対応が一対一でないので系統別には割り付けていない,DOC_NKI_WEP_R8
FAC_KAI_CITY,UTL_KAISEI,開成町配水（地下水のみ）,junction,,,高台第一浄水場（第1〜3水源・5400 m3）・高台第二浄水場（第4〜5水源・3100 m3）・榎下浄水場（第7水源・1000 m3）の 3 系統（DOC_KAI_WEP_R8）。原水はいずれも開成町の地下水,DOC_KAI_WEP_R8
FAC_OI_CITY,UTL_OI,大井町配水（地下水のみ）,junction,,,第一浄水場（金手797番地外・令和4年度から休止中）と第二浄水場（金手639-1）の 2 系統だが、現在は第二浄水場系統のみで運用（DOC_OI_KEIEI p4・DOC_OI_WEP）。原水はいずれも大井町の地下水,DOC_OI_KEIEI
FAC_MTD_JOSUI,UTL_MATSUDA,松田町上水道配水（地下水のみ）,junction,,,宮下水源系統（宮下1号井・3号井→河南沢配水池・庶子配水池）と中河原水源系統（中河原1号井・2号井→神山配水池・上茶屋配水池）の 2 系統（DOC_MTD_VISION p14-17）。原水はいずれも深井戸。庶子水源（湧水）は予備水源で稼働していない,DOC_MTD_VISION
FAC_MTD_YADORIKI,UTL_MATSUDA,寄簡易水道配水（地下水・湧水の混合）,junction,,,弥勒寺第1水源系統と宮地・田代第2水源、弥勒寺第2水源系統、宇津茂第2水源系統、稲郷水源系統の4 系統（DOC_MTD_VISION p18）。流入比は令和5年度の年間取水量（DOC_KAN_SUIDOU_R5 p51 簡易水道の概要(2)）＝深井戸 4 箇所 199057 ㎥・湧水 1 箇所 1000 ㎥。**事業全体の年間平均であって系統別の実測ではない**ので流入辺は basis=estimated,DOC_KAN_SUIDOU_R5
FAC_HAD_HORIYAMASHITA,UTL_HADANO,堀山下浄水場,purification,,,秦野市堀山下1286番。処理能力 6500 m3/日（DOC_HAD_TOUKEI_R6 p22）。「河川水を水源とする堀山下浄水場では凝集沈殿急速濾過方式による浄化処理を行っています」（DOC_HAD_WEP_R8 p4）。原水は猿渡取水場・深沢取水場（水無川）と森戸下取水場（四十八瀬川）,DOC_HAD_WEP_R8
FAC_HAD_FUTAGO,UTL_HADANO,二タ子送水ポンプ場（県水受水施設）,reservoir,,,秦野市下大槻258番4。有効容量 4000 m3。備考欄が「県水受水施設」（DOC_HAD_TOUKEI_R6 p22）。県営水道の南金目受水地点から分岐する「秦野分水」がここに入る（DOC_KEN_NENPO_R4 p41 主要配水系統図）,DOC_HAD_TOUKEI_R6
FAC_HAD_CITY,UTL_HADANO,秦野市配水（地下水・湧水・河川水・県水の混合）,junction,,,市内 26 配水場に配る水。流入比は令和6年度の水源別取水量の実績（DOC_HAD_TOUKEI_R6 p26）。**市全体の年間平均であって配水場ごとの実測ではない**ので流入辺は basis=estimated。実際には内久根・堀山下高区・峠・三廻部高区・菖蒲の 5 配水場は浄水受水（県水）だけで運用しており（DOC_HAD_WEP_R8 p4-5）、逆に大半の配水場は地下水 100% なので、町丁目によって構成は大きく違う。配水エリアは図でしか公表されていない（同 p8）,DOC_HAD_TOUKEI_R6
