doc_id,title,publisher,url,published_at,retrieved_at,local_path,sha256,license_ja
DOC_KEN_KUIKI_HAKONE,神奈川県企業局 箱根町の給水区域（ウェブページ）,神奈川県企業局 水道部経営課,https://www.pref.kanagawa.jp/docs/r4a/keneisuidousyoukai/hakonekuiki.html,,2026-09-05,data/raw/water/kenei/kuiki_hakone.html,99975f8a56d6e9eb0446dfc817c86868cbc1379177c803e4f1ecfe333999b2b9,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_KUIKI_AIKAWA,神奈川県企業局 愛川町の給水区域（ウェブページ）,神奈川県企業局 水道部経営課,https://www.pref.kanagawa.jp/docs/r4a/keneisuidousyoukai/aikawakuiki.html,,2026-09-05,data/raw/water/kenei/kuiki_aikawa.html,4477fb6101c17d6c748e8f3ac77039878de377356b10300421c1968d20cd4711,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_YAGAHARA,神奈川県企業局 谷ケ原浄水場ホームページ（ウェブページ）,神奈川県企業局 谷ケ原浄水場,https://www.pref.kanagawa.jp/docs/h3x/index.html,2026-07-17,2026-09-05,data/raw/water/kenei/yagahara_top.html,a20c25a1aea743bdedd289b4745da7a24e620048c4289525b13c1877600ffe44,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KEN_NENPO_R4,神奈川県企業局 令和4年度 水道事業統計年報,神奈川県企業局,https://catalog.opendata.pref.kanagawa.jp/dataset/6d1a1c34-30ee-4070-a6ea-75e9b5dc8334/resource/fc549018-e51c-4254-b67f-121490e0cc39/download/nenpo4.pdf,2024-02-16,2026-09-05,data/raw/water/kenei/kenei_nenpo_r4.pdf,7f6f73f79e72b450e2b9f5378a2818ad2c2a63870e8280f677a365df3b76b88f,クリエイティブ・コモンズ 表示 4.0（CC-BY）https://catalog.opendata.pref.kanagawa.jp/ の掲載条件による
DOC_KGD_GAIYOU_R7,神奈川県内広域水道企業団 事業の概要 令和7年度,神奈川県内広域水道企業団,https://www.kwsa.or.jp/aboutus/files/r7jigyounogaiyou.pdf,2025-04-01,2026-09-05,data/raw/water/kigyodan/kigyodan_r7_jigyounogaiyou.pdf,b6451dc3a3aec984e11c8ecd6ca2c070110efcfd8a74d9d5156238262f12bea8,神奈川県内広域水道企業団サイトの利用について（出典明示で利用可・要確認）https://www.kwsa.or.jp/
DOC_KWS_SUISHITSU_R8,川崎市上下水道局 令和8年度水質検査計画,川崎市上下水道局,https://www.city.kawasaki.jp/800/cmsfiles/contents/0000083/83603/R8_kensakeikaku.pdf,2026-03-31,2026-09-05,data/raw/water/kawasaki/kawasaki_r8_suishitsu_keikaku.pdf,9c5714edfe601fd8f8d9addb2c28f01bd349cc0c4214ca0b55980e47ae73a561,川崎市 著作権・リンク・免責事項（「私的使用のための複製」や「引用」など著作権法上認められた場合を除き無断転載を禁止。出典明示での引用は可）https://www.city.kawasaki.jp/main/site_policy/0000000027.html
DOC_KWS_SHISETSU,川崎市上下水道局 水道事業の施設（ウェブページ）,川崎市上下水道局,https://www.city.kawasaki.jp/800/page/0000083181.html,,2026-09-05,data/raw/water/kawasaki/shisetsu.html,583d9f54f092c879ba1bce9e253fb4aa7581b20e310d26fef68a7454feae3378,川崎市 著作権・リンク・免責事項（「私的使用のための複製」や「引用」など著作権法上認められた場合を除き無断転載を禁止。出典明示での引用は可）https://www.city.kawasaki.jp/main/site_policy/0000000027.html
DOC_YKS_WEP_R8,横須賀市上下水道局 令和8年度水道水質検査計画,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6955/suisitu/documents/r8keikaku.pdf,2026-03-31,2026-09-05,data/raw/water/yokosuka/yokosuka_r8_suishitsu_keikaku.pdf,e7ace5a616c4b01303dd4612de76e0fb80012230a7b13b605ec1a512488b97b0,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_TOUKEI_R6,横須賀市上下水道局 令和6年度 水道事業統計年報,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6731/torikumi/keiei/documents/r6suidoutoukei.pdf,2025-10-01,2026-09-05,data/raw/water/yokosuka/yokosuka_r6_suidou_toukei.pdf,161696162a3156e49f6e21a2d3b9e619adb693b16a78e0f551de3b9b3b710f40,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_KEITO,横須賀市上下水道局 水源系統（ウェブページ）,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6911/torikumi/keito.html,,2026-09-05,data/raw/water/yokosuka/keito.html,bc60714cc7250551e7b5e1f7b5a470c0a7bb999d3001a402fd57128f02d2e81a,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_KEITO_ARIMA,横須賀市上下水道局 有馬系統（ウェブページ）,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6911/torikumi/keito/arima.html,,2026-09-05,data/raw/water/yokosuka/keito_arima.html,0ae71ddf971fd8647b94d3a4dd64ae1229206820b03fa83f4864622ddc3fa668,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_KEITO_KOSUZUME,横須賀市上下水道局 小雀系統（ウェブページ）,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6911/torikumi/keito/kosuzume.html,,2026-09-05,data/raw/water/yokosuka/keito_kosuzume.html,c241d52e75865d6cd58e735a78b7829fd2f5177677c069de84cb2f6ec80965de,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_KEITO_MIYAGASE,横須賀市上下水道局 宮ヶ瀬系統（ウェブページ）,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6911/torikumi/keito/miyagase.html,,2026-09-05,data/raw/water/yokosuka/keito_miyagase.html,8b79e417b64669f31a61177d6de07ee1a64b3a7a7ce4531f24e8f1af65618045,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_KEITO_SAKAWA,横須賀市上下水道局 酒匂川系統（ウェブページ）,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6911/torikumi/keito/sakawagawa.html,,2026-09-05,data/raw/water/yokosuka/keito_sakawagawa.html,543d8554bc71178e317a6971777983e09c81354a23e34e92f65408197909e39c,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_YKS_KEITO_HASHIRIMIZU,横須賀市上下水道局 走水系統（ウェブページ）,横須賀市上下水道局,https://www.city.yokosuka.kanagawa.jp/6911/torikumi/keito/hasirimizu.html,,2026-09-05,data/raw/water/yokosuka/keito_hasirimizu.html,d0e85530260100d5302cb65d216fc455010ea1b6f0f84cea0abd51036debb2ba,横須賀市ホームページについて（著作権は市または原権利者に帰属。私的使用と出所明示を伴う引用を除き無断転載・改変を禁止）https://www.city.yokosuka.kanagawa.jp/about_site/menseki.html
DOC_KAN_JIGYOSHA,神奈川県 神奈川県内の水道事業者一覧（ウェブページ）,神奈川県 健康医療局生活衛生部生活衛生課,https://www.pref.kanagawa.jp/docs/e8z/cnt/f1029/p70915-1.html,2026-08-17,2026-09-05,data/raw/water/kanagawa/jigyosha_ichiran.html,39288d468c24c83dca3876bbefa205ae929216a7157fbdc72c64a85b72768c07,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_KAN_SUIDOU_R5,神奈川県 令和5年度 神奈川県の水道,神奈川県 健康医療局生活衛生部生活衛生課,https://www.pref.kanagawa.jp/documents/11042/r5suidou.pdf,,2026-09-05,data/raw/water/kanagawa/kanagawa_r5_suidou.pdf,93aba5f603b79ae99245486101c59b632aedf847a217f003ebec9a49a17be418,神奈川県ウェブサイトのサイトポリシー（引用等の著作権法上認められている範囲で自由に利用可・出典の記載が必要）https://www.pref.kanagawa.jp/master/sitepolicy.html
DOC_ODW_WEP_R8,令和8年度 小田原市水道事業水質検査計画,小田原市上下水道局,https://www.city.odawara.kanagawa.jp/global-image/units/627837/1-20260331115747_b69cb382b671f1.pdf,2026-03-31,2026-09-05,data/raw/water/odawara/odawara_r8_suishitsu_keikaku.pdf,42c01dc5c929db8bd81329aebae2ec4618edfa0e75542d00490d4cedd2f5881c,小田原市 著作権・免責事項等（著作権は原則として小田原市が保有。二次利用は禁止だが著作権法上の私的使用・引用は可）https://www.city.odawara.kanagawa.jp/tyosaku/tyosakuetc.html
DOC_ODW_FAQ_MIZU,小田原市 小田原の水はどこから取っているのですか。（FAQ・ウェブページ）,小田原市上下水道局,https://www.city.odawara.kanagawa.jp/faq/p06373.html,2021-08-25,2026-09-05,data/raw/water/odawara/odawara_faq_mizu.html,19ca58bf43db7e1c55e460baf67bad6fee532ace9856204d0b42464b8f39eb48,小田原市 著作権・免責事項等（著作権は原則として小田原市が保有。二次利用は禁止だが著作権法上の私的使用・引用は可）https://www.city.odawara.kanagawa.jp/tyosaku/tyosakuetc.html
DOC_ODW_TAKATA,小田原市 高田浄水場再整備事業について（ウェブページ）,小田原市上下水道局,https://www.city.odawara.kanagawa.jp/field/c-planning/water/intro/preparation/p34393.html,2026-06-02,2026-09-05,data/raw/water/odawara/odawara_takata.html,5106edd6d40c9c2c8811cb5c842a5d3f87340edfe8787a1665667b4ce382ca29,小田原市 著作権・免責事項等（著作権は原則として小田原市が保有。二次利用は禁止だが著作権法上の私的使用・引用は可）https://www.city.odawara.kanagawa.jp/tyosaku/tyosakuetc.html
DOC_MAS_WEP_R8,令和8年度 南足柄市水道事業水質検査計画,南足柄市上下水道課,https://www.city.minamiashigara.kanagawa.jp/global-image/units/204661/1-20260319113924.pdf,2026-03-19,2026-09-05,data/raw/water/minamiashigara/minamiashigara_r8_suishitsu_keikaku.pdf,66d97aec8e00fdd2d1b2cfc30c2a8f98cfa66453de325f625eeca92b72c7f51c,南足柄市 このサイトについて（著作権は南足柄市または原権利者に帰属。私的使用または引用等著作権法上認められている行為を除き無断転載不可）https://www.city.minamiashigara.kanagawa.jp/about/about.html
DOC_MAS_ANZEN_R8,南足柄市水安全計画（令和8年3月）概要版,南足柄市,https://www.city.minamiashigara.kanagawa.jp/global-image/units/189103/1-20260623150301.pdf,2026-03-01,2026-09-05,data/raw/water/minamiashigara/minamiashigara_mizuanzen_gaiyou.pdf,6fa62c093b43d34c5130381b202aa2ebb9cecd42f0047b0d961bb1c9e90a1c95,南足柄市 このサイトについて（著作権は南足柄市または原権利者に帰属。私的使用または引用等著作権法上認められている行為を除き無断転載不可）https://www.city.minamiashigara.kanagawa.jp/about/about.html
DOC_MAS_JOSUI,南足柄市 浄水場（ウェブページ）,南足柄市上下水道課,https://www.city.minamiashigara.kanagawa.jp/kurashi/mizu/iroiro/suidou_jigyou/1354_3116.html,2024-03-05,2026-09-05,data/raw/water/minamiashigara/minamiashigara_josuijo.html,c4771d4719db1dfbbf3709874d3bafa120a23f29b4f56e29458ae5d0112fdcb9,南足柄市 このサイトについて（著作権は南足柄市または原権利者に帰属。私的使用または引用等著作権法上認められている行為を除き無断転載不可）https://www.city.minamiashigara.kanagawa.jp/about/about.html
DOC_MAS_HAISUI_ZU,南足柄市配水区域図,南足柄市上下水道課,https://www.city.minamiashigara.kanagawa.jp/global-image/units/104599/1-20240304140717.pdf,,2026-09-05,data/raw/water/minamiashigara/minamiashigara_haisui_kuiki_zu.pdf,9c8b8465f8d200c772396934428871e2031a79f1fc0e664f907e09eabb8ab6bc,南足柄市 このサイトについて（著作権は南足柄市または原権利者に帰属。私的使用または引用等著作権法上認められている行為を除き無断転載不可）https://www.city.minamiashigara.kanagawa.jp/about/about.html
DOC_MIU_WEP_R8,令和8（2026）年度 三浦市水質検査計画書,三浦市上下水道部,https://www.city.miura.kanagawa.jp/material/files/group/42/R8suisitukennsakeikakusyo.pdf,,2026-09-05,data/raw/water/miura/miura_r8_suishitsu_keikaku.pdf,4aff149a8f4867d6793e5ef8e062ed56d14003aaf2af7168c8ff0c23cef50eda,三浦市 このサイトについて（三浦市が著作権を有し、法律で認められた場合を除き無断転用・引用を禁止。指定オープンデータのみ CC BY 4.0）https://www.city.miura.kanagawa.jp/soshiki/digitalka/digitalka_joho/1948.html
DOC_MIU_VISION,三浦市水道ビジョン(経営戦略) 第1〜4章,三浦市上下水道部,https://www.city.miura.kanagawa.jp/material/files/group/41/37372723.pdf,2021-03-31,2026-09-05,data/raw/water/miura/miura_suidou_vision_1_4.pdf,b2565bf600b6da74dccbd108eb3d5ab890be2f626ef7acbe4ec0896942da7014,三浦市 このサイトについて（三浦市が著作権を有し、法律で認められた場合を除き無断転用・引用を禁止。指定オープンデータのみ CC BY 4.0）https://www.city.miura.kanagawa.jp/soshiki/digitalka/digitalka_joho/1948.html
DOC_MIU_VISION_GAIYOU,三浦市水道ビジョン(経営戦略) 概要版,三浦市上下水道部,https://www.city.miura.kanagawa.jp/material/files/group/41/miurasisuidouvisiongaiyouban20210331.pdf,2021-03-31,2026-09-05,data/raw/water/miura/miura_suidou_vision_gaiyou.pdf,693d7afb8a4a9ba965198315499f9d6e6b79e983658867e0350d5b94cd209946,三浦市 このサイトについて（三浦市が著作権を有し、法律で認められた場合を除き無断転用・引用を禁止。指定オープンデータのみ CC BY 4.0）https://www.city.miura.kanagawa.jp/soshiki/digitalka/digitalka_joho/1948.html
DOC_NKI_WEP_R8,令和8年度 中井町水道事業水質検査計画,中井町上下水道課,https://www.town.nakai.kanagawa.jp/material/files/group/15/R8suidotukennsakeikaku.pdf,,2026-09-05,data/raw/water/nakai/nakai_r8_suishitsu_keikaku.pdf,3d58cac955f0cc3e94febd95b89e1784073e6562b552bdb0b28d7fcbbea222ad,中井町ウェブサイト（著作権・免責事項の専用ページは見つからず、フッターのCopyright (c) Nakai Town 表示のみ）https://www.town.nakai.kanagawa.jp/
DOC_KAI_WEP_R8,令和8年度 開成町水質検査計画（ウェブページ）,開成町都市整備課,https://www.town.kaisei.kanagawa.jp/info/711,2026-03-30,2026-09-05,data/raw/water/kaisei/kaisei_r8_suishitsu_keikaku.html,6eb80e5eee694c0b9df27b419323638da12274739a15767844ee7b4a4e59551e,開成町ウェブサイト（著作権・免責事項の専用ページは見つからず）https://www.town.kaisei.kanagawa.jp/
DOC_KAI_KEIEI,開成町水道事業経営戦略（令和7年3月・計画期間 R6〜R16）,開成町都市整備課,https://www.town.kaisei.kanagawa.jp/div/machi/pdf/Suidou/suidou_keiseisenryaku_R6.pdf,2025-03-01,2026-09-05,data/raw/water/kaisei/kaisei_keiei_senryaku.pdf,2d873c31ae470d0af135ca0602ad687cc53c24a1247488b74363ad8464d7e6c3,開成町ウェブサイト（著作権・免責事項の専用ページは見つからず）https://www.town.kaisei.kanagawa.jp/
DOC_KAI_OISHII,開成町のおいしい水の紹介（ウェブページ）,開成町都市整備課,https://www.town.kaisei.kanagawa.jp/info/327,,2026-09-05,data/raw/water/kaisei/kaisei_oishii_mizu.html,3c44640b302e5f7f59fe49916b183fa5adae1866f23c83d7a6984a5f7477955b,開成町ウェブサイト（著作権・免責事項の専用ページは見つからず）https://www.town.kaisei.kanagawa.jp/
DOC_OI_KEIEI,大井町水道事業経営戦略 改定版（令和7年度〜令和16年度）,大井町生活環境課,https://www.town.oi.kanagawa.jp/uploaded/life/30020_54494_misc.pdf,,2026-09-05,data/raw/water/oi/oi_keiei_senryaku.pdf,607546551fe3c21ebddd8388d5a3fdd6d7574f351dc32d50f8f2b4a2e4df91c5,大井町 リンク・著作権・免責事項（諸権利は原則として大井町に帰属。私的使用・引用を除き無断使用・複製・転載を禁止）https://www.town.oi.kanagawa.jp/site/userguide/lcd.html
DOC_OI_WEP,大井町 水質検査実施計画（ウェブページ）,大井町生活環境課,https://www.town.oi.kanagawa.jp/soshiki/9/13-2.html,2026-04-01,2026-09-05,data/raw/water/oi/oi_suishitsu_keikaku.html,998b8a81e3d011b503c17f577906677c508f87ecf2ada7e7ac65485f2d93fe00,大井町 リンク・著作権・免責事項（諸権利は原則として大井町に帰属。私的使用・引用を除き無断使用・複製・転載を禁止）https://www.town.oi.kanagawa.jp/site/userguide/lcd.html
DOC_MTD_VISION,松田町水道ビジョン（令和5年度改定版）,松田町,https://town.matsuda.kanagawa.jp/uploaded/attachment/15214.pdf,2023-12-01,2026-09-05,data/raw/water/matsuda/matsuda_suidou_vision.pdf,20b94dc2374de136cae4983196e9288b855fa982bece872f1889b48678b421f3,松田町 リンク・著作権・免責事項（諸権利は原則として松田町に帰属。著作権法上の私的使用・引用を除き複製・転載・販売・貸与は不可）https://town.matsuda.kanagawa.jp/site/userguide/08.html
DOC_MTD_IMA,まつだの水道の今 〜みんなで支える みんなの水〜（令和8年1月）,松田町,https://town.matsuda.kanagawa.jp/uploaded/life/34563_110779_misc.pdf,2026-01-13,2026-09-05,data/raw/water/matsuda/matsuda_suidou_no_ima.pdf,27f59824040858dacca9da9bf8c951ea166083da586594b3ccb7b5cfa46c75a6,松田町 リンク・著作権・免責事項（諸権利は原則として松田町に帰属。著作権法上の私的使用・引用を除き複製・転載・販売・貸与は不可）https://town.matsuda.kanagawa.jp/site/userguide/08.html
DOC_HAD_WEP_R8,令和8年度 秦野市上下水道局水道水質検査計画,秦野市上下水道局,https://www.city.hadano.kanagawa.jp/material/files/group/68/R08_suisitu_plan.pdf,2026-07-13,2026-09-05,data/raw/water/hadano/hadano_r8_suishitsu_keikaku.pdf,cfdc3812fe6899e90a18789589024f202ab48fad532ad3f8394e6493aa8d2664,秦野市 リンク方針・著作権（秦野市役所ホームページの情報は原則として秦野市が著作権を有する。法律で認められた場合を除き無断で転用・引用することを禁じる）https://www.city.hadano.kanagawa.jp/shisei/koho/9/9176.html
DOC_HAD_TOUKEI_R6,秦野市 上下水道事業統計要覧 令和6年度版,秦野市上下水道局,https://www.city.hadano.kanagawa.jp/material/files/group/66/R06_toukeiyouran.pdf,2026-05-31,2026-09-05,data/raw/water/hadano/hadano_r6_toukei_youran.pdf,b08e004bf6e7433925d98fbcaf3fea55bc99cbbef0766dbd4b184a25f2b1300a,秦野市 リンク方針・著作権（秦野市役所ホームページの情報は原則として秦野市が著作権を有する。法律で認められた場合を除き無断で転用・引用することを禁じる）https://www.city.hadano.kanagawa.jp/shisei/koho/9/9176.html
DOC_HAD_DEKIRUMADE,秦野市 水道水ができるまで（ウェブページ）,秦野市上下水道局,https://www.city.hadano.kanagawa.jp/soshiki/11/1065/4/2880.html,,2026-09-05,data/raw/water/hadano/hadano_dekirumade.html,bd6c3446e42b21ecc0c5f462826035cc0f68fc0470bf75212d55bb8da67e364c,秦野市 リンク方針・著作権（秦野市役所ホームページの情報は原則として秦野市が著作権を有する。法律で認められた場合を除き無断で転用・引用することを禁じる）https://www.city.hadano.kanagawa.jp/shisei/koho/9/9176.html
DOC_HAD_JOREI,秦野市水道事業給水条例 別表第1（第2条関係）,秦野市,https://www1.g-reiki.net/city.hadano/reiki_honbun/g213RG00000617.html,,2026-09-05,data/raw/water/hadano/hadano_kyusui_jorei.html,2434d9b4fcdf1fd3995b8a99aa213fdc3af3fcc8ef5dcad36d01e11c5138db3c,秦野市 リンク方針・著作権（秦野市役所ホームページの情報は原則として秦野市が著作権を有する。法律で認められた場合を除き無断で転用・引用することを禁じる）https://www.city.hadano.kanagawa.jp/shisei/koho/9/9176.html
DOC_ZAM_WEP_R8,令和8年度 座間市上下水道局水質検査計画,座間市上下水道局水道施設課,https://www.city.zama.kanagawa.jp/_res/projects/default_project/_page_/001/011/705/r08zamasuikei.pdf,2026-03-01,2026-09-05,data/raw/water/zama/zama_r8_suishitsu_keikaku.pdf,35358566a68246e8cde755902db70db4e6899880484bca09b7787bfdce1ba549,座間市 著作権・免責事項（諸権利は原則として座間市に帰属。「私的使用のための複製」や「引用」など著作権法上認められる場合を除き無断使用・複製・転載を禁止）https://www.city.zama.kanagawa.jp/about/1007657.html
DOC_ZAM_GAIYOU_R5,座間市公営企業概要 令和5年度版,座間市上下水道局,https://www.city.zama.kanagawa.jp/_res/projects/default_project/_page_/001/002/400/koueikigyougaiyour5.pdf,,2026-09-05,data/raw/water/zama/zama_koueikigyou_gaiyou_r5.pdf,65d7e10ab2f89b73abd0f8e48303738f0fde03fcf4dbf193fd52689dba050d54,座間市 著作権・免責事項（諸権利は原則として座間市に帰属。「私的使用のための複製」や「引用」など著作権法上認められる場合を除き無断使用・複製・転載を禁止）https://www.city.zama.kanagawa.jp/about/1007657.html
DOC_ZAM_KENSUI,座間市 神奈川県企業庁からの受水（ウェブページ）,座間市上下水道局水道施設課,https://www.city.zama.kanagawa.jp/kurashi/suidou/josuidou/kensui/1002389.html,2024-09-02,2026-09-05,data/raw/water/zama/zama_kensui.html,d23dde087860f84b570eece990c4b60531f901448985b130b54ed6ca61d747fa,座間市 著作権・免責事項（諸権利は原則として座間市に帰属。「私的使用のための複製」や「引用」など著作権法上認められる場合を除き無断使用・複製・転載を禁止）https://www.city.zama.kanagawa.jp/about/1007657.html
DOC_YMK_WEP_R8,令和8年度 山北町水質検査計画,山北町上下水道課,https://www.town.yamakita.kanagawa.jp/cmsfiles/contents/0000004/4173/R08suisitukennsakeikaku.pdf,2026-02-01,2026-09-05,data/raw/water/yamakita/yamakita_r8_suishitsu_keikaku.pdf,e0df373206b3d369150d85659caca5dec6298236ef523d2b4b2d1cbf67390a7d,山北町ホームページについて（著作権は原則として山北町に帰属。私的使用・引用等を除き無断複製・転用不可）https://www.town.yamakita.kanagawa.jp/site_policy/0000000009.html
