分類,タイトル,概要,リンク,データ形式,提供元
相模川・流域,公共用水域水質測定結果（神奈川県）,相模川を含む県内河川・湖沼・海域の水質測定結果を年度別・速報値で公開。水質調査年表への導線もある,https://www.pref.kanagawa.jp/docs/pf7/suisitu/joukyou.html,"HTML,Excel,PDF",神奈川県
相模川・流域,河川のモニタリング調査（県民参加）,相模川・酒匂川を対象に県民参加型で底生動物・魚類・水辺の鳥類等を毎年度調査する報告書・マニュアル公開ページ,https://www.pref.kanagawa.jp/docs/b4f/suigen/top.html,"HTML,PDF,Excel",神奈川県環境科学センター
相模川・流域,かながわの水がめ 降水量・貯水量,相模湖・津久井湖・宮ヶ瀬湖の合計貯水量・貯水率と月別降水量を公開する県企業庁の速報データページ,https://kanagawa-dam.jp/web_data/saves_rainfall_sagami.html,HTML,神奈川県企業庁
相模川・流域,宮ケ瀬ダム 貯水状況,宮ケ瀬ダムの貯水位・貯水率・流入量など最新の貯水状況を随時更新して公開するリアルタイム情報ページ,https://www.ktr.mlit.go.jp/sagami/sagami01113.html,HTML,国土交通省相模川水系広域ダム管理事務所
相模川・流域,宮ヶ瀬ダムの諸元,宮ヶ瀬ダムの堤高・堤頂長・総貯水容量など施設諸元を紹介するページ,https://www.ktr.mlit.go.jp/sagami/sagami00035.html,HTML,国土交通省相模川水系広域ダム管理事務所
相模川・流域,相模川水系ダム群 水位アニメーション,宮ヶ瀬ダムなど相模川水系ダム群の水位変化をアニメーションで可視化するリアルタイム情報ページ,https://www.ktr.mlit.go.jp/sagami/sagami00668.html,"HTML,画像",国土交通省相模川水系広域ダム管理事務所
相模川・流域,城山ダム（津久井湖）諸元,堤高75m・総貯水容量6230万立米など津久井湖を形成する城山ダムの構造諸元と目的を掲載,https://www.pref.kanagawa.jp/docs/vh6/cnt/f8018/shiroyamadam.html,HTML,神奈川県企業庁
相模川・流域,相模ダム（相模湖）諸元,1947年完成、相模湖を形成する相模ダムの堤高・貯水容量・ゲート構成など諸元を掲載,https://www.pref.kanagawa.jp/docs/vh6/cnt/f8018/sagamidam.html,HTML,神奈川県企業庁
相模川・流域,三保ダム（丹沢湖）諸元,導水路で相模川水系3湖と連携運用される三保ダムの堤高・貯水容量・目的など諸元を掲載,https://www.pref.kanagawa.jp/docs/vh6/cnt/f8018/mihodam.html,HTML,神奈川県企業庁
相模川・流域,相模湖・津久井湖の水質汚濁の実態解明,昭和50年代から続くアオコ問題を含む相模湖・津久井湖の水質汚濁実態を調査した県衛生研究所の報告資料,https://www.pref.kanagawa.jp/documents/3295/gh2005.pdf,PDF,神奈川県衛生研究所
相模川・流域,相模川水系と酒匂川水系の連携（3湖総合運用）,相模湖・津久井湖・宮ヶ瀬湖を導水路で結ぶ3湖総合運用の仕組みと水資源管理方針を説明する資料,https://www.pref.kanagawa.jp/documents/29981/833642.pdf,PDF,神奈川県
相模川・流域,相模川漁連 寒川取水堰アユ遡上調査,寒川取水堰における天然アユの遡上数を継続的に計測・公表する現地調査報告,http://sagamigawa-gyoren.jp/topics/2214/,HTML,相模川漁業協同組合連合会
相模川・流域,水産技術センター内水面試験場,アユ・ワカサギ増殖研究、渓流魚・希少種保全、外来魚対策など相模川水系の内水面漁業に関する試験研究機関,https://www.pref.kanagawa.jp/div/1734/index.html,HTML,神奈川県水産技術センター内水面試験場
相模川・流域,相模川水系の魚類相（神奈川自然誌資料）,相模川本支川40地点の調査で確認された魚類9目15科42種の分布と国内外来種問題を報告する学術論文,https://nh.kanagawa-museum.jp/assets/icp/pdf/nhr31_59-68_saitou.pdf,PDF,神奈川県立生命の星・地球博物館
相模川・流域,カラドジョウの侵入状況（相模川水系）,相模川水系の水田地帯における外来種カラドジョウの侵入分布を報告した2022年の学術論文,https://www.jstage.jst.go.jp/article/nkpmnh/2022/43/2022_39/_article/-char/ja/,"PDF,HTML",神奈川県立生命の星・地球博物館
相模川・流域,ミナミアシハラガニ 相模川初記録,南方系カニ類の分布北限拡大と相模川での初記録を報告するJ-STAGE公開の学術論文,https://www.jstage.jst.go.jp/article/izu/16/0/16_73/_article/-char/ja/,"PDF,HTML",神奈川県立生命の星・地球博物館ほか
相模川・流域,相模川流域治水協議会,国・県・市町村等が連携する協議会の規約、議事録、対策フォローアップ資料を公開するページ,https://www.ktr.mlit.go.jp/keihin/keihin_index135.html,"HTML,PDF",国土交通省関東地方整備局京浜河川事務所
相模川・流域,相模川水系 流域治水プロジェクト,多段階浸水想定図や水害リスクマップを含む流域治水プロジェクトの計画書・啓発資料を公開するページ,https://www.ktr.mlit.go.jp/keihin/keihin_index136.html,"HTML,PDF",国土交通省関東地方整備局京浜河川事務所
相模川・流域,相模川 洪水浸水想定区域図（想定最大規模）,想定最大規模降雨による相模川氾濫時の浸水範囲・浸水深を示すハザードマップ用の浸水想定区域図,https://www.ktr.mlit.go.jp/keihin/keihin00197.html,"PDF,GIS,画像",国土交通省関東地方整備局京浜河川事務所
相模川・流域,相模川 家屋倒壊等氾濫想定区域図（河岸侵食）,洪水時の河岸侵食による家屋倒壊危険区域を示す図面。避難計画立案の基礎資料となる,https://www.ktr.mlit.go.jp/keihin/keihin00672.html,"PDF,GIS,画像",国土交通省関東地方整備局京浜河川事務所
相模川・流域,相模川クリーン作戦,相模川及び支川で実施される河川清掃活動やふれあい懇談会など市民参加型プログラムを紹介,https://www.ktr.mlit.go.jp/keihin/keihin00084.html,HTML,国土交通省関東地方整備局京浜河川事務所
相模川・流域,桂川・相模川流域協議会,山梨・神奈川にまたがる流域の市民団体。ウナギ調査、湧水環境調査、水質一斉調査、クリーンキャンペーン報告等を公開,https://katurasagami.net/,"HTML,PDF,画像",桂川・相模川流域協議会
相模川・流域,国土数値情報 相模川水系 河川データ,相模川水系121河川・流路の位置情報をGeoJSON形式で提供するデータセット。GISで加工可能,https://geoshape.ex.nii.ac.jp/river/resource/830307/,GIS,国土交通省（国立情報学研究所加工）
相模川・流域,相模川にすむ虫たち（ふれあい科学館）,相模川ふれあい科学館と東海大学の企画展紹介。相模川固有の希少水生昆虫5種の生息記録を報告,https://sagamigawa-fureai.com/diary/20170815-3380/,"HTML,画像",相模川ふれあい科学館
全国基盤・API,自然環境調査Web-GIS,環境省の自然環境調査データを地図表示・ダウンロードできる。丹沢周辺の植生・動植物分布をGISで直接確認できる,http://gis.biodic.go.jp/webgis/,"GIS,HTML",環境省生物多様性センター
全国基盤・API,いきものログ,市民参加型の生物観察記録DB（約546万件）。種名検索で相模川流域・丹沢での目撃地点を地図確認でき、生データ取得も可能,https://ikilog.biodic.go.jp/,"データベース,HTML",環境省
全国基盤・API,"1/25,000植生図 GISデータ",自然環境保全基礎調査で整備された高精細植生図。丹沢のブナ林・スギ人工林等の分布をシェープファイルで解析できる,http://gis.biodic.go.jp/webgis/sc-043.html,GIS,環境省生物多様性センター
全国基盤・API,自然環境保全基礎調査 植生調査,全国の現存植生図（1/5万・1/2.5万）整備事業の概要と成果物一覧。相模川流域の植生変遷の広域比較に使える,https://www.biodic.go.jp/kiso/vg/vg_kiso.html,"GIS,PDF,HTML",環境省生物多様性センター
